表650-80001：按居住國家／地區劃分的訪港旅客人次,,,,,,,,,,,,,
 ,,,,,,,,,,,,,
 , ,訪港旅客,訪港旅客,訪港旅客,訪港旅客,訪港旅客,訪港旅客,訪港旅客,訪港旅客,訪港旅客,訪港旅客,訪港旅客,訪港旅客
,,數目,數目,數目,數目,數目,數目,數目,數目,數目,數目,數目,數目
居住國家／地區 ,,非洲,美洲,澳大利亞、新西蘭及南太平洋,歐洲,中東,北亞,南亞及東南亞,中國內地,台灣,澳門,未能辨別,總計
年,月,,,,,,,,,,,,
2012,2,10759,128239,50286,156909,14026,233089,259111,2296814,162578,59350,41,3371202
2012,3,17173,167827,66145,186708,15896,210918,329028,2497061,154942,63750,36,3709484
2012,4,19467,175533,68476,183605,19784,167079,325477,2647026,167046,66649,38,3840180
2012,5,13896,154497,54992,140757,13760,181478,337150,2525600,151920,64841,43,3638934
2012,6,13349,142254,60110,118705,16145,183880,322301,2514688,178865,70592,23,3620912
2012,7,13942,143604,57773,132425,15687,199823,261583,3264385,203164,77343,57,4369786
2012,8,11969,127099,50510,138751,14343,241040,295529,3727949,195587,95982,84,4898843
2012,9,15301,130329,70437,135478,14668,179919,247091,2751427,171251,69079,38,3785018
2012,10,17018,175520,69127,196909,20982,163088,291921,3064966,171675,72523,58,4243787
2012,11,14379,164120,56178,186261,15066,171006,336516,3040360,163147,69872,32,4216937
2012,12,16081,138224,67016,151461,14675,197431,418213,3479541,190383,104924,39,4777988
2013,1,12909,135513,69903,157866,14669,203158,275588,3526182,165849,71262,27,4632926
2013,2,6690,103787,38400,125165,9558,162945,191353,3132415,183751,68031,25,4022120
2013,3,16860,165247,68459,200082,18764,183919,351684,2842002,165455,74772,42,4087286
2013,4,18858,163992,66608,188459,19857,152926,321524,3110141,174210,63290,24,4279889
2013,5,13758,137908,54000,150652,13225,162488,335432,3053892,145684,75238,24,4142301
2013,6,13326,128934,56478,121876,15097,153876,315277,3150563,168843,77036,25,4201331
2013,7,12464,130612,55960,133752,12208,167042,261278,3777462,194392,86302,49,4831521
2013,8,12372,113990,47138,139095,20705,202617,297945,4224639,194991,104556,39,5358087
2013,9,14150,121551,67149,133177,15113,175968,251448,3283859,177158,69715,16,4309304
2013,10,16071,170851,69449,203745,21485,174378,309793,3406001,180455,79775,31,4632034
2013,11,14546,157829,56561,187279,15108,190244,362139,3348121,168360,79472,22,4579681
2013,12,16652,135348,67314,152578,15510,211015,444515,3890000,180950,108417,25,5222324
2014,1,11889,127600,63660,155653,14748,211823,267541,4347400,174123,80919,15,5455371
2014,2,7847,109793,40223,134083,11481,192901,233735,3458215,160650,68426,22,4417376
2014,3,16651,159449,59275,191736,18380,203120,345293,3601086,156305,73918,21,4825234
2014,4,18104,158504,79555,188812,20256,163543,306491,3568064,164515,80095,21,4747960
2014,5,13916,144133,56131,150417,14062,185170,337463,3452734,162807,73731,15,4590579
2014,6,12468,133968,56838,114866,13678,182111,329658,3395330,173373,80387,18,4492695
2014,7,11346,132801,58059,131238,12966,190399,287512,4261796,197349,90019,33,5373518
2014,8,13701,118466,47956,136564,20765,228435,243168,4896001,190162,114338,21,6009577
2014,9,14067,130850,66613,136347,15185,199343,260695,3681736,167789,74142,15,4746782
2014,10,15977,166271,68587,196651,19606,186719,289479,4027944,167214,75233,21,5213702
2014,11,14148,157673,54691,182978,13977,184299,306795,4155524,148294,81291,10,5299680
2014,12,16449,139575,63891,143926,13444,201950,406959,4401845,169302,109003,18,5666362
2015,1,12591,136906,66155,149626,15118,229594,273160,4490420,155775,80336,17,5609698
2015,2,7042,108629,34404,116852,9468,182134,165640,4551825,156054,73635,6,5405689
2015,3,14483,163919,57592,184233,15790,201681,298186,3240825,154032,74547,10,4405298
2015,4,16402,169157,64908,185962,18539,169566,309055,3604713,169870,80912,28,4789112
2015,5,14122,145486,55817,138129,12624,202597,327231,3625308,153392,81491,18,4756215
2015,6,12250,133998,55357,114248,11334,148545,304041,3333433,167791,80225,6,4361228
2015,7,12282,132320,53368,129084,15756,162350,293147,3845273,187517,92316,18,4923431
2015,8,12349,120718,44346,133439,17414,191618,240408,4550148,189843,114561,8,5614852
2015,9,12436,128582,62717,134131,16239,190445,261798,3509432,165810,77201,9,4558800
2015,10,14908,170672,66077,200278,18001,187816,302603,3857524,175069,80534,12,5073494
2015,11,12884,169511,56990,189786,14194,206198,349406,3512410,160707,76619,10,4748715
2015,12,15601,148196,63431,153597,15927,220021,434383,3721049,179937,108906,16,5061064
2016,1,12085,141967,61800,159926,15664,238302,301606,4043000,174325,76895,8,5225578
2016,2,6536,110571,33785,130330,9678,199101,202333,3367736,160592,75049,20,4295731
2016,3,13712,165609,60864,191114,16847,199024,324452,3017173,149242,75748,16,4213801
2016,4,15929,170091,69936,194096,17856,181550,329623,3459000,176018,72200,17,4686316
2016,5,11390,145025,57558,142828,13352,189312,343260,3322758,150573,77051,11,4453118
2016,6,10508,137244,55873,114642,8850,179449,319470,3206043,176169,77465,17,4285730
2016,7,11944,132586,54475,134968,16605,189687,296427,3930526,185051,96736,17,5049022
2016,8,10827,120428,42976,140769,16376,216626,226061,4037005,174341,101070,17,5086496
2016,9,11754,134703,61128,135374,17575,214627,270860,3333627,168311,74470,12,4422441
2016,10,14130,176312,67826,210357,16346,197635,307059,3723837,161813,78384,6,4953705
2016,11,11701,177724,55317,192652,13610,235342,343238,3388958,153844,74536,16,4646938
2016,12,14802,161078,62508,157820,13502,244041,437407,3948482,181149,115218,20,5336027
2017,1,9408,143372,58895,152130,12714,232426,265508,4353505,164020,83192,6,5475176
2017,2,6705,119320,37537,140447,10777,252816,236713,3138728,165183,73187,4,4181417
2017,3,11770,169079,52630,187820,16017,252483,332297,3330769,160589,72726,6,4586186
2017,4,15476,173200,74981,203417,17811,189824,329358,3521932,166892,82938,5,4775834
2017,5,10812,142787,50139,140861,11433,213033,325114,3450028,166827,75968,12,4587014
2017,6,8523,141279,57284,117918,10847,197742,335055,3097716,163588,73297,7,4203256
2017,7,10806,139161,55789,134927,14206,196487,264025,4077183,180352,94758,6,5167700
2017,8,9460,120618,43986,135456,15684,242059,229376,3955989,177920,92881,4,5023433
2017,9,10841,125603,64829,134911,14312,220311,258269,3572769,157363,75948,5,4635161
2017,10,12845,167229,65127,198611,16879,231859,298480,4033473,174188,79972,14,5278677
2017,11,10272,178481,59569,196297,14338,247170,343769,3680755,159009,81448,11,4971119
2017,12,13825,161690,66361,158656,15090,241470,408194,4232412,174824,114652,10,5587184
2018,1,10500,149568,70819,165053,16013,273923,302942,4113241,156300,75177,26,5333562
2018,2,5304,114368,30835,126340,9795,198832,175703,4399696,146308,73782,8,5280971
2018,3,11029,187106,56237,203199,15741,271970,338894,3668375,157997,84552,22,4995122
2018,4,15354,182383,70901,203364,16843,196696,313566,4056097,172597,73791,10,5301602
2018,5,9220,150850,52567,148538,10339,217232,319104,3817370,151060,76712,11,4953003
2018,6,8567,148723,53430,120107,10353,190002,337552,3634089,164497,74456,3,4741779
2018,7,11110,146553,59603,137147,14178,186215,238541,4402955,172884,92029,7,5461222
2018,8,9732,127171,49865,143687,16019,232153,224262,4825547,167791,99713,11,5895951
2018,9,11118,124771,60882,131460,13044,206601,235453,3713464,150747,70989,7,4718536
2018,10,12498,180083,67262,201103,15688,215092,294008,4654391,155625,88742,20,5884512
2018,11,10243,194058,57914,197733,13182,257473,361980,4631378,151502,119555,9,5995027
2018,12,14323,166906,73474,159911,14148,262995,429666,5121627,177926,165287,5,6586268
2019,1,9987,150897,74124,159169,12748,273680,286974,5542896,159680,114245,6,6784406
